attr	type	dim	value	default	formatAs	typeW3C	EQN	loc	value.def
in2	LITERAL	1	\emph{'SourceAlpha'}				FALSE	feDisplacementMapIn2Attribute	Specifies to use the \emph{alpha channel} of original graphic source to calculate displacement values.
in2	LITERAL	1	\emph{'BackgroundImage'}				FALSE	feDisplacementMapIn2Attribute	Specifies to use the image snapshot of the filter region at the time filter was invoked to calculate displacement values.
in2	LITERAL	1	\emph{'BackgroundAlpha'}				FALSE	feDisplacementMapIn2Attribute	Specifies to use the the \emph{alpha channel} of the filter region image to calculate displacement values.
in2	LITERAL	1	\emph{'FillPaint'}				FALSE	feDisplacementMapIn2Attribute	Specifies to use the \emph{fill} property on the target element to calculate displacement values.
in2	LITERAL	1	\emph{'StrokePaint'}				FALSE	feDisplacementMapIn2Attribute	Specifies to use the \emph{stroke} property on the target element to calculate displacement values.
in2	CHARACTER	1	<filter-primitive-reference>				FALSE	feDisplacementMapIn2Attribute	Specifies to use the results of the referenced filter primitive to calculate displacement values.
in2	ELEMENT	1	<filterPrimitveElement>				FALSE	feDisplacementMapIn2Attribute	Specifies to use the results of the given \emph{filterPrimitveElement} to calculate displacement values.
intercept	NUMERIC	1	<number>			equation	FALSE	feComponentTransferInterceptAttribute	Specifies the intercept to be used to construct the transfer function when the type is \emph{linear}.
k	NUMERIC	1	<numeric>	0			FALSE	HKernElementKAttribute	Specifies an reduction in the spacing, relative to the font coordinate system, between the two \emph{glyphs} of the kerning pair. ( Required.)
k1	NUMERIC	1	<numeric>	0			FALSE	feCompositeK1Attribute	Specifies the \emph{k1} coefficient for the \emph{arithmetic composite operator}.
k2	NUMERIC	1	<numeric>	0			FALSE	feCompositeK2Attribute	Specifies the \emph{k2} coefficient for the \emph{arithmetic composite operator}.
k3	NUMERIC	1	<numeric>	0			FALSE	feCompositeK3Attribute	Specifies the \emph{k3} coefficient for the \emph{arithmetic composite operator}.
k4	NUMERIC	1	<numeric>	0			FALSE	feCompositeK4Attribute	Specifies the \emph{k4} coefficient for the \emph{arithmetic composite operator}.
kernelMatrix	NUMERIC	lenght(order)	<numeric>[N]				FALSE	feConvolveMatrixElementKernelMatrixAttribute	Specifies the entries of the \emph{kernelMatrix}.
kernelMatrix	POS-NUMERIC	order	matrix[N.M]				FALSE	feConvolveMatrixElementKernelMatrixAttribute	Specifies the  \emph{kernelMatrix} using a matrix.
kernelUnitLength	c(dx,dy)	1,2	<numeric>[1 or 2]	1			FALSE	feConvolveMatrixElementKernelUnitLengthAttribute	Specifies a dx, (dy) distance(s) in current filter units between successive rows and columns. Default for dx is 1 pixel, default for dy is dx.
kernelUnitLength	c(dx,dy)	1,2	<numeric>[1 or 2]	1			FALSE	feDiffuseLightingKernelUnitLengthAttribute	Specifies the dx, (dy), to be used to build the implicit pixel grid for the filter. By default, dx is 1 pixel, dy is the value of dx.
kernelUnitLength	c(dx,dy)	1,2	<numeric>[1 or 2]				FALSE	feSpecularLightingKernelUnitLengthAttribute	Specifies the dx, (dy) to be used in calculating the unit normal vector. The default for dx is a small distance, the default for dy is dx. It is advised that at minimal, one should specifies filterRes or kernelUnitLength to assure consistency across displays.
keyPoints	NUMERIC[0-1]	M	<numeric-in-the-[0,1]-range>[N]		v		FALSE	KeyPointsAttribute	Specifies points as a numeric vector with values in the (0-1) range, with 0 being the start, and 1 being the end. The length of this value should match in length of the keytimes attribute value.
keySplines	LIST	[N][4]	<coordinates>[[N]][4]		1-L		FALSE	KeySplinesAttribute	A list of Bezier control points associated with the \emph{'keyTimes'} list. Each pt has 4 values, \emph{x1, y1, x2, y2} with values in the range between 0 and 1.
keySplines	MATRIX	4xN	<coordinates>[4,N]		1-M		FALSE	KeySplinesAttribute	A 4xN matrix whose columns are the Bezier control points associated with the \emph{'keyTimes'} list. Each pt has 4 values, x1, y1, x2, y2 with values in the range between 0 and 1.
keyTimes	LIST	N	<numeric>[N]		L-N		FALSE	KeyTimesAttribute	A list of time values used to control the pacing of the animation. Each time in the list corresponds to a value in the values attribute list
keyTimes	MATRIX	1	<numeric>		V-N		FALSE	KeyTimesAttribute	A vector of time values used to control the pacing of the animation. Each time in the list corresponds to a value in the values attribute list
lang	CHARACTER	M	<language-codes>				FALSE	GlyphElementLangAttribute	Specifies a language code name as defined in BCP 47.
lengthAdjust	LITERAL	1	\emph{'spacing'}				FALSE	TextElementLengthAdjustAttribute	Specifies to the user agent, that when attempting to match the rendered text length with the value specified by the \emph{'textLength'} attribute, only spacing adjustments are allowed.
lengthAdjust	LITERAL	1	\emph{'spacingAndGlyphs'}				FALSE	TextElementLengthAdjustAttribute	Specifies to the user agent, that when attempting to match the rendered text length with the value specified by the \emph{textLength} attribute, both spacing and compressing/stretching of the \emph{glyphs} are allowed.
limitingConeAngle	NUMERIC	1	<numeric>	NULL			FALSE	feSpotLightLimitingConeAngleAttribute	Specifies an angle (in degrees) that defines a cone of light emulating a spot light. Default is no cone.
local	CHARACTER	1	<string>				FALSE	ColorProfileElementLocalAttribute	Specifes a color profile by ID.
markerHeight	LENGTH	1	<length>	3			FALSE	MarkerHeightAttribute	Specifies the height of the marker viewport. Must be non-negative. The default is 3.
markerUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	MarkerUnitsAttribute	Specifies that \emph{'markerWidth'}, \emph{'markerHeight'} and any coordinate values of marker contents are in terms of the user coordinate system in effect at the time when this marker is referenced.
markerUnits	LITERAL	1	\emph{'strokeWidth'}				FALSE	MarkerUnitsAttribute	Specifies that \emph{'markerWidth'}, \emph{'markerHeight'} and any-coordinate values of the marker contents are given in terms of a coordinate system which has been scaled in such a way that the current stroke has a width of 1 in that system.
markerWidth	LENGTH	1	<length>	3			FALSE	MarkerWidthAttribute	Specifies the width of the marker. Default=3.
maskContentUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	MaskElementMaskContentUnitsAttribute	Specifies that the coordinate system for contents is given terms of the user coordinate system in effect at the time of \strong{mask} referencing.
maskContentUnits	LITERAL	1	\emph{'objectBoundingBox'}				FALSE	MaskElementMaskContentUnitsAttribute	Specifies that the coordinate system for contents is given terms of the bounding box of the object to which the \strong{mask} is applied.
maskUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	MaskElementMaskUnitsAttribute	Specifies that the coordinate system for the mask attributes \emph{'x'}, \emph{'y'}, \emph{'width'} and \emph{'height'} represent values are given in terms of the user coordinate system effective at the time of mask referencing.
maskUnits	LITERAL	1	\emph{'objectBoundingBox'}	T			FALSE	MaskElementMaskUnitsAttribute	Specifies that the coordinate system for the mask attributes \emph{'x'}, \emph{'y'}, \emph{'width'} and \emph{'height'} are given in terms of fractions or percentages of the bounding box of the object to which the mask is applied. (Default)
mathematical	NUMERIC	1	<numeric>		1		FALSE	FontFaceElementMathematicalAttribute	Specifies, in font coordinates, for horizontally orientated \emph{glyphs}, the alignment to produce an \emph{ideographic} baseline alignment.
max	POS-CLOCKVALUE	1	<clock.value>		1-C		FALSE	MaxAttribute	Specifies the length of the maximum value of the active duration
max	LITERAL	1	\emph{'media'}		1-C		FALSE	MaxAttribute	Specifies the maximum value of the active duration as the intrinsic media duration.
media	CHARACTER	M	<media-descriptors>[N]	all			FALSE	StyleElementMediaAttribute	Specifies the intended destination medium for style information Default is \emph{all} .
method	LITERAL	1	\emph{'align'}				FALSE	TextPathElementMethodAttribute	Specifies for rendering that uses simple 2x3 transformations with no stretching/warping of the \emph{glyphs}.
method	LITERAL	1	\emph{'stretch'}				FALSE	TextPathElementMethodAttribute	Specifies that rendering will convert glyph outlines to paths with endpoints and control points adjusted to be normal to the path producing possible stetching and warping. This approach is taken to insure connected \emph{glyphs} remain connect along the path.
min	POS-CLOCKVALUE	1	<clock.value>		1-C		FALSE	MinAttribute	Specifies the length of the minimum value of the active duration
min	LITERAL	1	\emph{'media'}		1-C		FALSE	MinAttribute	Specifies the minimum value of the active duration as the intrinsic media duration.
mode	LITERAL	1	\emph{'normal'}		1-C		FALSE	feBlendModeAttribute	Specifies the \emph{normal blending mode} See below.
mode	LITERAL	1	\emph{'multiply'}		1-C		FALSE	feBlendModeAttribute	Specifies the \emph{multiply blending mode} See below.
mode	LITERAL	1	\emph{'screen'}		1-C		FALSE	feBlendModeAttribute	Specifies the \emph{screen blending mode} See below.
mode	LITERAL	1	\emph{'darken'}		1-C		FALSE	feBlendModeAttribute	Specifies the \emph{darken blending mode} See below.
mode	LITERAL	1	\emph{'lighten'}		1-C		FALSE	feBlendModeAttribute	Specifies the \emph{lighten blending mode} See below.
name	CHARACTER	1	<name>		1		FALSE	FontFaceNameElementNameAttribute	Specifies a name of a local font.
name	CHARACTER	1	<name>				FALSE	ColorProfileElementNameAttribute	"Specifies the name of the first parameter in \emph{icc-color} specification. Note: \emph{""""""""""""""""sRGB""""""""""""""""} is predefined; and will result in the specification this being ignored."
numOctaves	POS-INTEGER	1	<integer>	1			FALSE	feTurbulenceNumOctavesAttribute	Specifies \emph{numOctaves} parameter to be used in noise function. The default is 1.
offset	NUMERIC	1	<numeric>			Details feComponentTransfer	FALSE	feComponentTransferOffsetAttribute	Specifies the \emph{offset} to be used to construct the transfer function when the type is \emph{gamma}.
offset	NUMERIC	1	<numeric | percentage>				FALSE	StopElementOffsetAttribute	Specifies a fraction (or percentage) determining location of the \strong{stop} element. For \strong{linearGradient} elements this fraction is given by distance from start to stop over the distance from start to end. Here start is the point c(x1, y1) or xy1 and end is the point c(x2, y2) or xy2. For \strong{radialGradient} elements the fraction is computed using the outermost circle and the focal point.
onabort	JS-CODE	1	<script>				FALSE	OnAbortEventAttribute	Specifies what to execute when an \emph{SVGAbort} event is fired. \emph{SvgAbort} occurs when page loading stops before an element has been allowed to be completely loaded.
onactivate	JS-CODE	1	<script>				FALSE	OnActivateEventAttribute	Specifies what to execute when a \emph{activate} event has fired and has bubbled/targeted this element. \emph{Activate} occurs through a mouse click or keypress.
onbegin	JS-CODE	1	<script>				FALSE	OnBeginEventAttribute	Specifies what to execute when a \emph{beginEvent} event is fired. A \emph{beginEvent} occurs at the start of an animation.
onclick	JS-CODE	1	<script>				FALSE	OnClickEventAttribute	Specifies what to execute when a \emph{click} event has fired and has bubbled/targeted this element. \emph{Click} is a mousedown and mouseup on the same location.
onend	JS-CODE	1	<script>				FALSE	OnEndEventAttribute	Specifies what to execute when a \emph{endEvent} event is fired. An \emph{endEvent} occurs at the end of an animation.
onerror	JS-CODE	1	<script>				FALSE	OnErrorEventAttribute	Specifies what to execute when an \emph{SVGError} event is fired. \emph{SvgErrpr} occurs when either a script error occurs or an element fails to load properly.
onfocusin	JS-CODE	1	<script>				FALSE	OnFocusInEventAttribute	Specifies what to execute when a \emph{focusin} event has fired and has bubbled/targeted this element. \emph{Focusoin} occurs when gaining focus.
onfocusout	JS-CODE	1	<script>				FALSE	OnFocusOutEventAttribute	Specifies what to execute when a \emph{focusout} event has fired and has bubbled/targeted this element. \emph{Focusout} occurs when losing focus.
onload	JS-CODE	1	<script>				FALSE	OnLoadEventAttribute	Specifies what to execute when an \emph{SVGLoad} event is fired.
onmousedown	JS-CODE	1	<script>				FALSE	OnMouseDownEventAttribute	Specifies what to execute when a \emph{mousedown} event has fired and has bubbled/targeted this element. \emph{Mousedown} occurs when the pointing device is pressed over the element.
onmousemove	JS-CODE	1	<script>				FALSE	OnMouseMoveEventAttribute	Specifies what to execute when a \emph{mousemove} event has fired and has bubbled/targeted this element. \emph{Mousemove} occurs when the pointing device ismoved over an element.
onmouseout	JS-CODE	1	<script>				FALSE	OnMouseOutEventAttribute	Specifies what to execute when a \emph{mouseout} event has fired and has bubbled/targeted this element. \emph{Mouseout} occurs when the pointing device is moved off an element.
onmouseover	JS-CODE	1	<script>				FALSE	OnMouseOverEventAttribute	Specifies what to execute when a \emph{mouseover} event has fired and has bubbled/targeted this element. \emph{Mouseover} occurs when the pointing device is onto an element.
onmouseup	JS-CODE	1	<script>				FALSE	OnMouseUpEventAttribute	Specifies what to execute when a \emph{mouseup} event has fired and has bubbled/targeted this element. \emph{Mouseup} occurs when the pointing device is released over the element.
onrepeat	JS-CODE	1	<script>				FALSE	OnRepeatEventAttribute	Specifies what to execute when a \emph{repeatEvent} event is fired. A \emph{repeatEvent} occurs at the repeat of an animation.
onresize	JS-CODE	1	<script>				FALSE	OnResizeEventAttribute	Specifies what to execute when an \emph{SVGResize} event is fired. \emph{SvgResize} event occurs after a resizing and applies only to the outermost svg element.
onscroll	JS-CODE	1	<script>				FALSE	OnScrollEventAttribute	Specifies what to execute when an \emph{SVGScroll} event is fired. \emph{SVGScroll} event occurs whenever the view is shifted. This occurs in one of two ways: direct user intervention or a change on the \emph{currentTranslate} property. The \emph{SVGScroll} event applies only to the \emph{outermost svg element}.
onunload	JS-CODE	1	<script>				FALSE	OnUnloadEventAttribute	Specifies what to execute when an \emph{SVGUnload} event is fired. \emph{SvgUnload} occurs when the svg document is removed from the window or frame.
onzoom	JS-CODE	1	<script>				FALSE	OnZoomEventAttribute	Specifies what to execute when an \emph{SVGZoom} event is fired. The \emph{SVGZoom} event occurs if zoom level of the document changes. This occurs for one of two reasons: the direct interaction by the user orchange to the \emph{currentScale Property. The }SVGZoom* event applies only to the outermost svg element.
operator	LITERAL	1	\emph{'erode'}				FALSE	feMorphologyOperatorAttribute	Specifies to \emph{erode} (to thin)
operator	LITERAL	1	\emph{'dilate'}				FALSE	feMorphologyOperatorAttribute	Specifies to \emph{dilate} (to fatten)
operator	LITERAL	1	\emph{'over'}		1-C		FALSE	feCompositeOperatorAttribute	Specifies to apply the \emph{over} operator (aka Painters algorithm) Used to display both \emph{in1} and \emph{in2} but places \emph{in1} over \emph{in2.} (aka. Painters algorithm)
operator	LITERAL	1	\emph{'in'}		1-C		FALSE	feCompositeOperatorAttribute	Specifies to apply the \emph{Porter/Duff in} operator.  Used to  display only  the portion of \emph{in1}  intersecting \emph{in2}  without displaying any portion of \emph{in2}.
operator	LITERAL	1	\emph{'out'}		1-C		FALSE	feCompositeOperatorAttribute	Specifies to apply the \emph{Porter/Duff out} operator, Used to display only the portion of \emph{in1} outside \emph{in2} and without displaying any portion of  \emph{in2}.
operator	LITERAL	1	\emph{'atop'}		1-C		FALSE	feCompositeOperatorAttribute	Specifies to apply the \emph{Porter/Duff atop} operator. Used to display the portion of  \emph{in1}  inside \emph{in2}, and the portion of  \emph{in2} outside \emph{in1}.
operator	LITERAL	1	\emph{'xor'}		1-C		FALSE	feCompositeOperatorAttribute	Specifies to apply the \emph{Porter/Duff xor} operator. Used to display  those portions  \emph{in1} and \emph{in2} that do not intersect.
operator	LITERAL	1	\emph{'arithmetic'}		1-C	LINKDEF	FALSE	feCompositeOperatorAttribute	Specifies the \emph{arithmetic} operator, which is linear in \emph{in1}, \emph{in2} and \eqn{in1 \times in2}.
order	POS-INTEGER	1,2	<numeric>[1 or 2]				FALSE	feConvolveMatrixElementOrderAttribute	Specifies the number of columns and rows to use for the \emph{kernelMatrix.} Typically usage is c(3, 3).
orient	LITERAL	1	\emph{'auto'}				FALSE	OrientAttribute	Specifies to rotate the \strong{marker} in such a way that the orientation automatically follows the path.
orient	ANGLE	1	<angle>	0			FALSE	OrientAttribute	Specifies the value of much to rotate (in degrees) the \strong{marker}.
orientation	LITERAL	1	\emph{'h'}		1-C		FALSE	GlyphElementOrientationAttribute	Specifies that the \strong{glyph element} is to be exclusively rendered in a horizontal inline progression.
orientation	LITERAL	1	\emph{'v'}		1-C		FALSE	GlyphElementOrientationAttribute	Specifies that the \strong{glyph element} is to be exclusively rendered in a  vertical inline progression.
origin	NO-EFFECT	1	<default-value>				FALSE	OriginAttribute	Specifies the origin as defined in the \emph{SMIL} specification.
overline-position	NUMERIC	1	<numeric>				FALSE	FontFaceElementOverlinePositionAttribute	Specifies, in font coordinates, the intended \emph{overline position}.
overline-thickness	NUMERIC	1	<numeric>				FALSE	FontFaceElementOverlineThicknessAttribute	Specifies, in font coordinates, the intended \emph{overline thickness}.
panose-1	INTEGER	10	[<integer>]{10}	rep(0,10)	1		FALSE	FontFaceElementPanose1Attribute	Specifies \emph{panrose} using vector of length 10. (Default=c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)). Used by Latin fonts
path	NAMED-LIST	M	<path-data-list>		N-L	Details: pathData	FALSE	PathAttribute	Specifies the path of motion as a named list, using the \emph{path-data format} with  list names drawn from the path commands \emph{(M, m, Z, z, L, l, H, h, V, v)} and values being the points for which those commands are to operate on.
path	character	M	<path-data-vector>		v	Details: pathData	FALSE	PathAttribute	Specifies the path of the motion as a vector; using the \emph{path-data format built} from path commands \emph{(M, m, Z, z, L, l, H, h, V, v)} and values being the points for which those commands are to operate on.
pathLength	NON-NEG-NUM	1	<numeric>				FALSE	PathLengthAttribute	Specifies a path length, in user units, given to the user agent whose goal is to attempt to match that value by using an appropriate amount of scaling. This can affect the rendering of text along that path, or path stroke operations and possibly even animation along the path.
patternContentUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	PatternElementPatternContentUnitsAttribute	Specifies that the coordinate system for the contents of the \strong{pattern element} is the user coordinate system at the time of the \strong{pattern element} referencing. Thus the measurement units \emph{patternContentUnits} coincides with the \emph{userSpaceUnits}.
patternContentUnits	LITERAL	1	\emph{'objectBoundingBox'}				FALSE	PatternElementPatternContentUnitsAttribute	Specifies that the coordinate system for contents of the \strong{pattern element} is given terms of the bounding box of the object to which the pattern \strong{pattern element} is applied.
patternTransform	NAMED-LIST	1	<transform-list>	Identity		Details: Transform.R	FALSE	PatternElementPatternTransformAttribute	Specifies sequence transforms of the \strong{pattern element}. Exotic effects, such as skewing can be made using these additional transforms. The default is the identity.
patternUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	PatternElementPatternUnitsAttribute	Specifies that the units for \strong{pattern element} attribute values for \emph{'x'}, \emph{'y'}, \emph{'width'} and \emph{'height'} are derived from user coordinate system effective at the time of the \strong{pattern element} referencing.
patternUnits	LITERAL	1	\emph{'objectBoundingBox'}	T			FALSE	PatternElementPatternUnitsAttribute	Specifies that the units for \strong{pattern element} attribute values for \emph{'x'}, \emph{'y'}, \emph{'width'} and \emph{'height'} are given in terms of fractions or percentages of the bounding box of the object to which the pattern is being applied. (Default)
points	PT-MATRIX	1	<coordinates>[2,N]		numeric	matrix	FALSE	PolylineElementPointsAttribute	Specifies the vertices of the \strong{polyline} by taking the points defined by the columns of this matrix, with adjacent columns corresponding to adjacent vertices. The points are interpreted in the user coordinate system.
points	PT-LIST	1	<coordinates>[[N]][2]		numeric	list	FALSE	PolylineElementPointsAttribute	Specifies the vertices of the \strong{polyline} by taking the points given in by this unnamed list, with adjacent list entries corresponding to adjacent vertices. The points are interpreted in the user coordinate system.
points	PT-MATRIX	1	<coordinates>[2,N]		numeric	matrix	FALSE	PolygonElementPointsAttribute	Specifies the vertices of the \strong{polygon} (closed \emph{polyline}) by taking the points defined by the columns of this matrix, with adjacent columns corresponding to adjacent vertices. The points are interpreted in the user coordinate system.
points	PT-LIST	1	<coordinates>[[N]][2]		numeric	list	FALSE	PolygonElementPointsAttribute	Specifies the vertices of the \strong{polygon} (closed polyine) by taking the points given in by this unnamed list, with adjacent list entries corresponding to adjacent vertices. The points are interpreted in the user coordinate system.
pointsAtX	NUMERIC	1	<coordinate>	0			FALSE	feSpotLightPointsAtXAttribute	Specifies the x-coordinate of where light source is point to. The coordinate is given in terms of the \emph{primitiveUnits} of the coordinate system  established on the \strong{filter element}. (Default=0)
pointsAtY	NUMERIC	1	<coordinate>	0			FALSE	feSpotLightPointsAtYAttribute	Specifies the y-coordinate of where light source is point to. The coordinate is given in terms of the \emph{primitiveUnits} of the coordinate system  established on the \strong{filter element}. (Default=0)
pointsAtZ	NUMERIC	1	<coordinate>	0			FALSE	feSpotLightPointsAtZAttribute	Specifies the z-coordinate of where light source is point to. The coordinate is given in terms of the \emph{primitiveUnits} of the coordinate system  established on the \strong{filter element}. (Default=0)
preserveAlpha	LITERAL	1	\emph{'FALSE'}				FALSE	feConvolveMatrixElementPreserveAlphaAttribute	Specifies to apply the \emph{convolution} to all channels, including the \emph{alpha channel}.
preserveAlpha	LITERAL	1	\emph{'TRUE'}				FALSE	feConvolveMatrixElementPreserveAlphaAttribute	Specifies to apply the \emph{convolution} to only the colors channels. (Not the \emph{alpha channel}!)
preserveAspectRatio	LITERAL	1	\emph{'<align>'}			Details preserveAspect	FALSE	PreserveAspectRatioAttribute	Specities the \emph{alignment directive} (See details below)
preserveAspectRatio	LITERAL	2	\emph{'c( <defer>, <align>)'}			Details preserveAspect	FALSE	PreserveAspectRatioAttribute	Specifies both a \emph{defer directive} and an \emph{alignment directive}. (See details below)
preserveAspectRatio	LITERAL	2	\emph{'c(<align> <meet-or-Slice>)'}			Details preserveAspect	FALSE	PreserveAspectRatioAttribute	Specifies both an \emph{alignment directive} and a \emph{meet-or-slice directive}. (See details below)
preserveAspectRatio	LITERAL	3	\emph{'c( defer <align> <meet-or-Slice>)'}			Details preserveAspect	FALSE	PreserveAspectRatioAttribute	Specifies a \emph{defer}, an \emph{alignment directive} and a \emph{meet-or-slice directive}. (See details below)
primitiveUnits	LITERAL	1	\emph{'userSpaceOnUse'}				FALSE	FilterElementPrimitiveUnitsAttribute	Specifies to interpret \emph{x, y, width, height} ( or \emph{xy, wh}) as current user coordinates.
primitiveUnits	LITERAL	1	\emph{'objectBoundingBox'}				FALSE	FilterElementPrimitiveUnitsAttribute	Specifies to interpret \emph{x, y, width, height} ( or \emph{xy, wh}) as fractions (or percentages)
r	LENGTH	1	<length>				TRUE	CircleElementRAttribute	Specifies the radius, \eqn{r} of the \strong{circle}. Note: \eqn{r\geq0}.
r	LENGTH	1	<length>				FALSE	RadialGradientElementRAttribute	Specifies the radius outermost circle of the \strong{radialGradient}. (The outermost circle being the location of the final gradient \emph{stop}.) Default is 0.50 .
radius	c(rx,ry) or r	1,2	<numeric>[1 or 2]	c(0,0)			TRUE	feMorphologyRadiusAttribute	Specifies the radii \eqn{r_x}, \eqn{r_y}, used in the x, y-directions to produce the \emph{erosion/dilation} effects. The default for \eqn{r_x} is 0, the default for \eqn{r_y} is \eqn{r_x}.
refX	COORDINATE	1	<coordinate>	0			FALSE	MarkerElementRefXAttribute	Specifies the x-coordinate of the \strong{marker} position. Default=0.
refY	COORDINATE	1	<coordinate>	0			FALSE	MarkerElementRefYAttribute	Specifies the y-coordinate of the \strong{marker} position. Default=0.
rendering-intent	LITERAL	1	\emph{'auto'}	T			FALSE	ColorProfileElementRenderingIntentAttribute	Directs the user agent to determine intent based on the content type. This is the Default.
rendering-intent	LITERAL	1	\emph{'perceptual'}				FALSE	ColorProfileElementRenderingIntentAttribute	Specifies to perserve relative \emph{color}, used often for images.
rendering-intent	LITERAL	1	\emph{'saturation'}				FALSE	ColorProfileElementRenderingIntentAttribute	Specifies to preserve \emph{saturation.}
rendering-intent	LITERAL	1	\emph{'Relative-colorimetric'}				FALSE	ColorProfileElementRenderingIntentAttribute	Specifies to not change colors that fall within the range supported by the rendering device.
rendering-intent	LITERAL	1	\emph{'Absolute-colorimetric'}				FALSE	ColorProfileElementRenderingIntentAttribute	Specifies the disable any \emph{white} point matching during color convertion. \emph{Not recommended.}
repeatCount	POS-NUM	1	<numeric>		1-C		FALSE	RepeatCountAttribute	Specifies the total number of cycles through the anaimation.  (can be fraction).
repeatCount	LITERAL	1	\emph{'indefinite'}		1-C		FALSE	RepeatCountAttribute	Specifies to repeat indefinitely.
repeatDur	CLOCKVALUE	1	<clock.value>		1-C		FALSE	RepeatDurAttribute	Specifies a duration during which the animation is repeated.
repeatDur	LITERAL	1	\emph{'indefinite'}		1-C		FALSE	RepeatDurAttribute	Specifies to repeat indefinitely.
requiredExtensions	CHARACTER	M	<extensions>[N]				FALSE	RequiredExtensionsAttribute	Specifies as a character vector, a list of \emph{IRI} references which identify the required extensions, Evaluates to true provide if all of the given extensions are supported, false otherwise. If false, element and all children are skipped. Often used with \strong{switch} element.
requiredFeatures	CHARACTER	M	<features>[N]		Unnamed list or vector		FALSE	RequiredFeaturesAttribute	Specifies a list of features. If all features are supported by the user agent, returns true, else false. Intended to be used in conjunction of \strong{switch} element.
restart	LITERAL	1	\emph{'always'}	T	1-C		FALSE	RestartAttribute	Specifies the animation can be restarted at any time. (Default).
restart	LITERAL	1	\emph{'whenNotActive'}		1-C		FALSE	RestartAttribute	Specifies the animation can only be restarted when it is not active.
restart	LITERAL	1	\emph{'never'}		1-C		FALSE	RestartAttribute	Specifies the animation cannot be restarted for the duration of the parent container.
result	CHARACTER	1	<filter-primitive-reference>				FALSE	FilterPrimitiveResultAttribute	Specifies a name that can be used to reference the result of this \emph{filter primitive} by another \emph{filter primitive} using \emph{in1} or \emph{in2}.
rotate	LITERAL	1	\emph{'auto'}				FALSE	RotateAttribute	Specifies that as the target element moves along the path, its orientation is to be continously adjusted by an \eqn{\theta(t)}, such that at any time \eqn{t} the vector \eqn{(cos(\theta(t)), sin(\theta(t))} lies in the direction of the objects trajectory. Since, at any given moment, the direction of the trajectory is a vector tangent to the path in the direction of the motion, the orientation of the element with respect to the path is continously maintained.
rotate	LITERAL	1	\emph{'auto-reverse'}				FALSE	RotateAttribute	Specifies that as the target element moves along the path, its orientation is to be continously adjusted by an \eqn{\theta(t)}, such that at any time \eqn{t} the vector \eqn{(-cos(\theta(t)), -sin(\theta(t))} lies in the direction of the objects trajectory.  Both \emph{auto} and \emph{auto-reverse}  maintain the orientation of the element with respect to the path, but the \emph{auto-reverse} image is a contionus reflection of the \emph{auto} image through a moving reference point on the path corresponding to the origin in the targets coordinate system.
rotate	ANGLE	1	<angle>	0			FALSE	RotateAttribute	Specifies to apply a constant rotational transformation on target element, where the rotational angle is the specified number of degrees.
rotate	ANGLE	M	<angle>[N]				FALSE	TextElementRotateAttribute	Specifies an additional rotation (in degrees) to be applied sequentiolly to each character. If the number of characters exceeds the number of rotations, the extra character receive the last rotation.
rotate	ANGLE	M	<angle>[N]				FALSE	TSpanElementRotateAttribute	Specifies an additional rotation (in degrees) to be applied sequentiolly to each character within this \strong{tspan}. If the number of characters exceeds the number of rotations, the extra character receive the last rotation.
rotate	ANGLE	M	<angle>[N]				FALSE	AltGlyphElementRotateAttribute	Specifies an additional rotation (in degrees) to be applied to characters within this \strong{altGlyph}. If rendering only unicode characters inside an \strong{altGlyph} element, then this specifies an aditional rotation (in degrees) to be applied sequentially for the first n characters where n is the length of the rotate-vector and applies the final rotate to the remaining characters (if any). If rendering alternate \emph{glyphs}, then dy[1] specifies a rotation to be applied to the entire sequence, while the remainder, dy[-1], is ignored.
rx	LENGTH	1	<length>				TRUE	RectElementRXAttribute	Specifies an x-radius \eqn{r_x} radius of an ellipse to be used to round off the corners of the rectangle. Note \eqn{r_x>0}.
rx	LENGTH	1	<length>				TRUE	EllipseElementRXAttribute	Specifies the x-axis radius, \eqn{r_x} of the \strong{ellipse}. Note \eqn{r_x \geq 0} is required.
ry	LENGTH	1	<length>				TRUE	RectElementRYAttribute	Specifies a y-radius \eqn{r_y} radius of an ellipse to be used to round off the corners of the rectangle. Note \eqn{r_y>0}.
ry	LENGTH	1	<length>				TRUE	EllipseElementRYAttribute	Specifies the y-axis radius, \eqn{r_y} of the \strong{ellipse}. Note \eqn{r_y \geq 0} is required.
scale	NUMERIC	1	<number>			equation	FALSE	feDisplacementMapScaleAttribute	Specifies the displacement scale factor, as given in the by the \strong{feDisplacement} Map equations. Note: a value of 0 results in no displacement.
seed	NON-NEG-INTEGER	1	<non-negative integer>	0			FALSE	feTurbulenceSeedAttribute	Specifies the seed for pseudo random number generator to be used in the \emph{noise} generation. Default is 0.
slope	ANGLE	1	<angle>	0	1		FALSE	FontFaceElementSlopeAttribute	Specifies an angle in degrees from the vertical of the dominant vertical strokes of the font. (Default=0)
