loc	attr	value	value.def
FilterElementHrefAttribute	xlink:href	<iri>	An IRI reference to another 'filter' element within the current SVG document fragment. Any attributes which are defined on the referenced 'filter' element which are not defined on this element are inherited by this element. If this element has no defined filter nodes, and the referenced element has defined filter nodes (possibly due to its own 'xlink.href' attribute), then this element inherits the filter nodes defined from the referenced 'filter' element. Inheritance can be indirect to an arbitrary level; thus, if the referenced 'filter' element inherits attributes or its filter node specification due to its own 'xlink.href' attribute, then the current element can inherit those attributes or filter node specifications.Animatable. yes.
FilterPrimitiveXAttribute	x	 "<coordinate>"	The minimum x coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.Animatable. yes.
FilterPrimitiveYAttribute	y	 "<coordinate>"	The minimum y coordinate for the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion.Animatable. yes.
FilterPrimitiveWidthAttribute	width	 "<length>"	The width of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image).Animatable. yes.
FilterPrimitiveHeightAttribute	height	 "<length>"	The height of the subregion which restricts calculation and rendering of the given filter primitive. See filter primitive subregion. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image).Animatable. yes.
FilterPrimitiveResultAttribute	result	 "<filter.primitive.reference>"	Assigned name for this filter primitive. If supplied, then graphics that result from processing this filter primitive can be referenced by an 'in' attribute on a subsequent filter primitive within the same 'filter' element. If no value is provided, the output will only be available for re.use as the implicit input into the next filter primitive if that filter primitive provides no value for its 'in' attribute. Note that a <filter.primitive.reference> is not an XML ID; instead, a <filter.primitive.reference> is only meaningful within a given 'filter' element and thus have only local scope. It is legal for the same <filter.primitive.reference> to appear multiple times within the same 'filter' element. When referenced, the <filter.primitive.reference> will use the closest preceding filter primitive with the given result.Animatable. yes.
FilterPrimitiveInAttribute	in	SourceGraphic	This keyword represents the graphics elements that were the original input into the 'filter' element. For raster effects filter primitives, the graphics elements will be rasterized into an initially clear RGBA raster in image space. Pixels left untouched by the original graphic will be left clear. The image is specified to be rendered in linear RGBA pixels. The alpha channel of this image captures any anti.aliasing specified by SVG. (Since the raster is linear, the alpha channel of this image will represent the exact percent coverage of each pixel.)
FilterPrimitiveInAttribute	in	SourceAlpha	This keyword represents the graphics elements that were the original input into the 'filter' element. SourceAlpha has all of the same rules as SourceGraphic except that only the alpha channel is used. The input image is an RGBA image consisting of implicitly black color values for the RGB channels, but whose alpha channel is the same as SourceGraphic. If this option is used, then some implementations might need to rasterize the graphics elements in order to extract the alpha channel.
FilterPrimitiveInAttribute	in	BackgroundImage	This keyword represents an image snapshot of the canvas under the filter region at the time that the 'filter' element was invoked. See Accessing the background image.
FilterPrimitiveInAttribute	in	BackgroundAlpha	Same as BackgroundImage except only the alpha channel is used. See SourceAlpha and Accessing the background image.
FilterPrimitiveInAttribute	in	FillPaint	This keyword represents the value of the 'fill' property on the target element for the filter effect. The FillPaint image has conceptually infinite extent. Frequently this image is opaque everywhere, but it might not be if the "paint" itself has alpha, as in the case of a gradient or pattern which itself includes transparent or semi.transparent parts.
FilterPrimitiveInAttribute	in	StrokePaint	This keyword represents the value of the 'stroke' property on the target element for the filter effect. The StrokePaint image has conceptually infinite extent. Frequently this image is opaque everywhere, but it might not be if the "paint" itself has alpha, as in the case of a gradient or pattern which itself includes transparent or semi.transparent parts.
feDistantLightAzimuthAttribute	azimuth	 "<number>"	Direction angle for the light source on the XY plane (clockwise), in degrees from the x axis. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feDistantLightElevationAttribute	elevation	 "<number>"	Direction angle for the light source from the XY plane towards the z axis, in degrees. Note the positive Z.axis points towards the viewer of the content. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
fePointLightXAttribute	x	 "<number>"	X location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
fePointLightYAttribute	y	 "<number>"	Y location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
fePointLightZAttribute	z	 "<number>"	Z location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element, assuming that, in the initial coordinate system, the positive Z.axis comes out towards the person viewing the content and assuming that one unit along the Z.axis equals one unit in X and Y. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpotLightXAttribute	x	 "<number>"	X location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpotLightYAttribute	y	 "<number>"	Y location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpotLightZAttribute	z	 "<number>"	Z location for the light source in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element, assuming that, in the initial coordinate system, the positive Z.axis comes out towards the person viewing the content and assuming that one unit along the Z.axis equals one unit in X and Y. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpotLightPointsAtXAttribute	pointsAtX	 "<number>"	X location in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element of the point at which the light source is pointing. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpotLightPointsAtYAttribute	pointsAtY	 "<number>"	Y location in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element of the point at which the light source is pointing. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpotLightPointsAtZAttribute	pointsAtZ	 "<number>"	Z location in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element of the point at which the light source is pointing, assuming that, in the initial coordinate system, the positive Z.axis comes out towards the person viewing the content and assuming that one unit along the Z.axis equals one unit in X and Y. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpotLightSpecularExponentAttribute	specularExponent	 "<number>"	Exponent value controlling the focus for the light source. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feSpotLightLimitingConeAngleAttribute	limitingConeAngle	 "<number>"	A limiting cone which restricts the region where the light is projected. No light is projected outside the cone. 'limitingConeAngle' represents the angle in degrees between the spot light axis (i.e. the axis between the light source and the point to which it is pointing at) and the spot light cone. User agents should apply a smoothing technique such as anti.aliasing at the boundary of the cone. If no value is specified, then no limiting cone will be applied.Animatable. yes.
feBlendModeAttribute	mode	 "normal | multiply | screen | darken | lighten"	One of the image blending modes (see table below). If attribute 'mode' is not specified, then the effect is as if a value of normal were specified.Animatable. yes.
feBlendIn2Attribute	in2	 "(see 'in' attribute)"	The second input image to the blending operation. This attribute can take on the same values as the 'in' attribute.Animatable. yes.
feColorMatrixTypeAttribute	type	 "matrix | saturate | hueRotate | luminanceToAlpha"	Indicates the type of matrix operation. The keyword 'matrix' indicates that a full 5x4 matrix of values will be provided. The other keywords represent convenience shortcuts to allow commonly used color operations to be performed without specifying a complete matrix. If attribute 'type' is not specified, then the effect is as if a value of matrix were specified.Animatable. yes.
feColorMatrixValuesAttribute	values	 "list of <number>s"	 The contents of 'values' depends on the value of attribute 'type'. For type="matrix", 'values' is a list of 20 matrix values (a00 a01 a02 a03 a04 a10 a11 ... a34), separated by whitespace and/or a comma. For example, the identity matrix could be expressed as. type="matrix" values="1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0" For type="saturate", 'values' is a single real number value (0 to 1). A saturate operation is equivalent to the following matrix operation. | R' | |0.213+0.787s 0.715.0.715s 0.072.0.072s 0 0 | | R || G' | |0.213.0.213s 0.715+0.285s 0.072.0.072s 0 0 | | G || B' | = |0.213.0.213s 0.715.0.715s 0.072+0.928s 0 0 | * | B || A' | | 0 0 0 1 0 | | A || 1 | | 0 0 0 0 1 | | 1 | For type="hueRotate", 'values' is a single one real number value (degrees). A hueRotate operation is equivalent to the following matrix operation. | R' | | a00 a01 a02 0 0 | | R || G' | | a10 a11 a12 0 0 | | G || B' | = | a20 a21 a22 0 0 | * | B || A' | | 0 0 0 1 0 | | A || 1 | | 0 0 0 0 1 | | 1 | where the terms a00, a01, etc. are calculated as follows. | a00 a01 a02 | [+0.213 +0.715 +0.072]| a10 a11 a12 | = [+0.213 +0.715 +0.072] +| a20 a21 a22 | [+0.213 +0.715 +0.072] [+0.787 .0.715 .0.072]cos(hueRotate value) * [.0.213 +0.285 .0.072] + [.0.213 .0.715 +0.928] [.0.213 .0.715+0.928]sin(hueRotate value) * [+0.143 +0.140.0.283] [.0.787 +0.715+0.072] Thus, the upper left term of the hue matrix turns out to be. .213 + cos(hueRotate value)*.787 . sin(hueRotate value)*.213 For type="luminanceToAlpha", 'values' is not applicable. A luminanceToAlpha operation is equivalent to the following matrix operation. | R' | | 0 0 0 0 0 | | R | | G' | | 0 0 0 0 0 | | G | | B' | = | 0 0 0 0 0 | * | B | | A' | | 0.2125 0.7154 0.0721 0 0 | | A | | 1 | | 0 0 0 0 1 | | 1 | If the attribute is not specified, then the default behavior depends on the value of attribute 'type'. If type="matrix", then this attribute defaults to the identity matrix. If type="saturate", then this attribute defaults to the value 1, which results in the identity matrix. If type="hueRotate", then this attribute defaults to the value 0, which results in the identity matrix.Animatable. yes. 
feComponentTransferTypeAttribute	type	 "identity | table | discrete | linear | gamma"	 Indicates the type of component transfer function. The type of function determines the applicability of the other attributes. In the following, C is the initial component (e.g., 'feFuncR'), C' is the remapped component; both in the closed interval [0,1]. For identity. C' = C For table, the function is defined by linear interpolation between values given in the attribute 'tableValues'. The table has n+1 values (i.e., v0 to vn) specifying the start and end values for n evenly sized interpolation regions. Interpolations use the following formula. For a value C < 1 find k such that. k/n <= C < (k+1)/n The result C' is given by. C' = vk + (C . k/n)*n * (vk+1 . vk) If C = 1 then. C' = vn. For discrete, the function is defined by the step function given in the attribute 'tableValues', which provides a list of n values (i.e., v0 to vn.1) in order to identify a step function consisting of n steps. The step function is defined by the following formula. For a value C < 1 find k such that. k/n <= C < (k+1)/n The result C' is given by. C' = vk If C = 1 then. C' = vn.1. For linear, the function is defined by the following linear equation. C' = slope * C + intercept For gamma, the function is defined by the following exponential function. C' = amplitude * pow(C, exponent) + offset Animatable. yes. 
feComponentTransferTableValuesAttribute	tableValues	 "(list of <number>s)"	When type="table", the list of <number>s v0,v1,...vn, separated by white space and/or a comma, which define the lookup table. An empty list results in an identity transfer function. If the attribute is not specified, then the effect is as if an empty list were provided.Animatable. yes.
feComponentTransferSlopeAttribute	slope	 "<number>"	When type="linear", the slope of the linear function. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feComponentTransferInterceptAttribute	intercept	 "<number>"	When type="linear", the intercept of the linear function. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feComponentTransferAmplitudeAttribute	amplitude	 "<number>"	When type="gamma", the amplitude of the gamma function. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feComponentTransferExponentAttribute	exponent	 "<number>"	When type="gamma", the exponent of the gamma function. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feComponentTransferOffsetAttribute	offset	 "<number>"	When type="gamma", the offset of the gamma function. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feCompositeOperatorAttribute	operator	 "over | in | out | atop | xor | arithmetic"	The compositing operation that is to be performed. All of the 'operator' types except arithmetic match the corresponding operation as described in [PORTERDUFF]. The arithmetic operator is described above. If attribute 'operator' is not specified, then the effect is as if a value of over were specified.Animatable. yes.
feCompositeK1Attribute	k1	 "<number>"	Only applicable if operator="arithmetic". If the attribute is not specified, the effect is as if a value of 0 were specified.Animatable. yes.
feCompositeK2Attribute	k2	 "<number>"	Only applicable if operator="arithmetic". If the attribute is not specified, the effect is as if a value of 0 were specified.Animatable. yes.
feCompositeK3Attribute	k3	 "<number>"	Only applicable if operator="arithmetic". If the attribute is not specified, the effect is as if a value of 0 were specified.Animatable. yes.
feCompositeK4Attribute	k4	 "<number>"	Only applicable if operator="arithmetic". If the attribute is not specified, the effect is as if a value of 0 were specified.Animatable. yes.
feCompositeIn2Attribute	in2	 "(see 'in' attribute)"	The second input image to the compositing operation. This attribute can take on the same values as the 'in' attribute.Animatable. yes.
feConvolveMatrixElementOrderAttribute	order	<number.optional.number>	Indicates the number of cells in each dimension for 'kernelMatrix'. The values provided must be <integer>s greater than zero. The first number, <orderX>, indicates the number of columns in the matrix. The second number, <orderY>, indicates the number of rows in the matrix. If <orderY> is not provided, it defaults to <orderX>. A typical value is order="3". It is recommended that only small values (e.g., 3) be used; higher values may result in very high CPU overhead and usually do not produce results that justify the impact on performance. If the attribute is not specified, the effect is as if a value of 3 were specified.Animatable. yes.
feConvolveMatrixElementKernelMatrixAttribute	kernelMatrix	<list of numbers>	The list of <number>s that make up the kernel matrix for the convolution. Values are separated by space characters and/or a comma. The number of entries in the list must equal <orderX> times <orderY>.Animatable. yes.
feConvolveMatrixElementDivisorAttribute	divisor	<number>	After applying the 'kernelMatrix' to the input image to yield a number, that number is divided by 'divisor' to yield the final destination color value. A divisor that is the sum of all the matrix values tends to have an evening effect on the overall color intensity of the result. It is an error to specify a divisor of zero. The default value is the sum of all values in kernelMatrix, with the exception that if the sum is zero, then the divisor is set to 1.Animatable. yes.
feConvolveMatrixElementBiasAttribute	bias	<number>	After applying the 'kernelMatrix' to the input image to yield a number and applying the 'divisor', the 'bias' attribute is added to each component. One application of 'bias' is when it is desirable to have .5 gray value be the zero response of the filter. The bias property shifts the range of the filter. This allows representation of values that would otherwise be clamped to 0 or 1. If 'bias' is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feConvolveMatrixElementTargetXAttribute	targetX	<integer>	Determines the positioning in X of the convolution matrix relative to a given target pixel in the input image. The leftmost column of the matrix is column number zero. The value must be such that. 0 <= targetX < orderX. By default, the convolution matrix is centered in X over each pixel of the input image (i.e., targetX = floor ( orderX / 2 )).Animatable. yes.
feConvolveMatrixElementTargetYAttribute	targetY	<integer>	Determines the positioning in Y of the convolution matrix relative to a given target pixel in the input image. The topmost row of the matrix is row number zero. The value must be such that. 0 <= targetY < orderY. By default, the convolution matrix is centered in Y over each pixel of the input image (i.e., targetY = floor ( orderY / 2 )).Animatable. yes.
feConvolveMatrixElementEdgeModeAttribute	edgeMode	duplicate | wrap | none	 Determines how to extend the input image as necessary with color values so that the matrix operations can be applied when the kernel is positioned at or near the edge of the input image. "duplicate" indicates that the input image is extended along each of its borders as necessary by duplicating the color values at the given edge of the input image.Original N.by.M image, where m=M.1 and n=N.1. 11 12 ... 1m 1M 21 22 ... 2m 2M .. .. ... .. .. n1 n2 ... nm nM N1 N2 ... Nm NMExtended by two pixels using "duplicate". 11 11 11 12 ... 1m 1M 1M 1M 11 11 11 12 ... 1m 1M 1M 1M 11 11 11 12 ... 1m 1M 1M 1M 21 21 21 22 ... 2m 2M 2M 2M .. .. .. .. ... .. .. .. .. n1 n1 n1 n2 ... nm nM nM nM N1 N1 N1 N2 ... Nm NM NM NM N1 N1 N1 N2 ... Nm NM NM NM N1 N1 N1 N2 ... Nm NM NM NM "wrap" indicates that the input image is extended by taking the color values from the opposite edge of the image.Extended by two pixels using "wrap". nm nM n1 n2 ... nm nM n1 n2 Nm NM N1 N2 ... Nm NM N1 N2 1m 1M 11 12 ... 1m 1M 11 12 2m 2M 21 22 ... 2m 2M 21 22 .. .. .. .. ... .. .. .. .. nm nM n1 n2 ... nm nM n1 n2 Nm NM N1 N2 ... Nm NM N1 N2 1m 1M 11 12 ... 1m 1M 11 12 2m 2M 21 22 ... 2m 2M 21 22 "none" indicates that the input image is extended with pixel values of zero for R, G, B and A. If attribute 'edgeMode' is not specified, then the effect is as if a value of duplicate were specified. Animatable. yes. 
feConvolveMatrixElementKernelUnitLengthAttribute	kernelUnitLength	<number.optional.number>	The first number is the <dx> value. The second number is the <dy> value. If the <dy> value is not specified, it defaults to the same value as <dx>. Indicates the intended distance in current filter units (i.e., units as determined by the value of attribute 'primitiveUnits') between successive columns and rows, respectively, in the 'kernelMatrix'. By specifying value(s) for 'kernelUnitLength', the kernel becomes defined in a scalable, abstract coordinate system. If 'kernelUnitLength' is not specified, the default value is one pixel in the offscreen bitmap, which is a pixel.based coordinate system, and thus potentially not scalable. For some level of consistency across display media and user agents, it is necessary that a value be provided for at least one of 'filterRes' and 'kernelUnitLength'. In some implementations, the most consistent results and the fastest performance will be achieved if the pixel grid of the temporary offscreen images aligns with the pixel grid of the kernel. A negative or zero value is an error (see Error processing).Animatable. yes.
feConvolveMatrixElementPreserveAlphaAttribute	preserveAlpha	false | true	A value of false indicates that the convolution will be applied to all channels, including the alpha channel. A value of true indicates the convolution is to be applied to only the color channels
feDiffuseLightingSurfaceScaleAttribute	surfaceScale	 "<number>"	height of surface when Ain = 1. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feDiffuseLightingDiffuseConstantAttribute	diffuseConstant	 "<number>"	kd in Phong lighting model. In SVG, this can be any non.negative number. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feDiffuseLightingKernelUnitLengthAttribute	kernelUnitLength	<number.optional.number>	The first number is the <dx> value. The second number is the <dy> value. If the <dy> value is not specified, it defaults to the same value as <dx>. Indicates the intended distance in current filter units (i.e., units as determined by the value of attribute 'primitiveUnits') for dx and dy, respectively, in the surface normal calculation formulas. By specifying value(s) for 'kernelUnitLength', the kernel becomes defined in a scalable, abstract coordinate system. If 'kernelUnitLength' is not specified, the dx and dy values should represent very small deltas relative to a given (x,y) position, which might be implemented in some cases as one pixel in the intermediate image offscreen bitmap, which is a pixel.based coordinate system, and thus potentially not scalable. For some level of consistency across display media and user agents, it is necessary that a value be provided for at least one of 'filterRes' and 'kernelUnitLength'. Discussion of intermediate images are in the Introduction and in the description of attribute 'filterRes'. A negative or zero value is an error (see Error processing).Animatable. yes.
feDisplacementMapScaleAttribute	scale	 "<number>"	Displacement scale factor. The amount is expressed in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. When the value of this attribute is 0, this operation has no effect on the source image. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feDisplacementMapXChannelSelectorAttribute	xChannelSelector	 "R | G | B | A"	Indicates which channel from 'in2' to use to displace the pixels in 'in' along the x.axis. If attribute 'xChannelSelector' is not specified, then the effect is as if a value of A were specified. Animatable. yes.
feDisplacementMapYChannelSelectorAttribute	yChannelSelector	 "R | G | B | A"	Indicates which channel from 'in2' to use to displace the pixels in 'in' along the y.axis. If attribute 'yChannelSelector' is not specified, then the effect is as if a value of A were specified. Animatable. yes.
feDisplacementMapIn2Attribute	in2	 "(see 'in' attribute)"	The second input image, which is used to displace the pixels in the image from attribute 'in'. This attribute can take on the same values as the 'in' attribute.Animatable. yes.
feGaussianBlurStdDeviationAttribute	stdDeviation	 "<number.optional.number>"	The standard deviation for the blur operation. If two <number>s are provided, the first number represents a standard deviation value along the x.axis of the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. The second value represents a standard deviation in Y. If one number is provided, then that value is used for both X and Y. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is the filter input image). If 'stdDeviation' is 0 in only one of X or Y, then the effect is that the blur is only applied in the direction that has a non.zero value. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feImageElementHrefAttribute	xlink:href	<iri>	 An IRI reference to the image source. Animatable. yes. 
feImageElementPreserveAspectRatioAttribute	preserveAspectRatio	[defer] <align> [<meetOrSlice>]	 See 'preserveAspectRatio'. If attribute 'preserveAspectRatio' is not specified, then the effect is as if a value of xMidYMid meet were specified. Animatable. yes. 
feMorphologyOperatorAttribute	operator	 "erode | dilate"	A keyword indicating whether to erode (i.e., thin) or dilate (fatten) the source graphic. If attribute 'operator' is not specified, then the effect is as if a value of erode were specified. Animatable. yes.
feMorphologyRadiusAttribute	radius	 "<number.optional.number>"	The radius (or radii) for the operation. If two <number>s are provided, the first number represents a x.radius and the second value represents a y.radius. If one number is provided, then that value is used for both X and Y. The values are in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. A negative value is an error (see Error processing). A value of zero disables the effect of the given filter primitive (i.e., the result is a transparent black image). If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feOffsetDxAttribute	dx	 "<number>"	The amount to offset the input graphic along the x.axis. The offset amount is expressed in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feOffsetDyAttribute	dy	 "<number>"	The amount to offset the input graphic along the y.axis. The offset amount is expressed in the coordinate system established by attribute 'primitiveUnits' on the 'filter' element. If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feSpecularLightingSurfaceScaleAttribute	surfaceScale	 "<number>"	height of surface when Ain = 1. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feSpecularLightingSpecularConstantAttribute	specularConstant	 "<number>"	ks in Phong lighting model. In SVG, this can be any non.negative number. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feSpecularLightingSpecularExponentAttribute	specularExponent	 "<number>"	Exponent for specular term, larger is more "shiny". Range 1.0 to 128.0. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feSpecularLightingKernelUnitLengthAttribute	kernelUnitLength	<number.optional.number>	The first number is the <dx> value. The second number is the <dy> value. If the <dy> value is not specified, it defaults to the same value as <dx>. Indicates the intended distance in current filter units (i.e., units as determined by the value of attribute 'primitiveUnits') for dx and dy, respectively, in the surface normal calculation formulas. By specifying value(s) for 'kernelUnitLength', the kernel becomes defined in a scalable, abstract coordinate system. If 'kernelUnitLength' is not specified, the dx and dy values should represent very small deltas relative to a given (x,y) position, which might be implemented in some cases as one pixel in the intermediate image offscreen bitmap, which is a pixel.based coordinate system, and thus potentially not scalable. For some level of consistency across display media and user agents, it is necessary that a value be provided for at least one of 'filterRes' and 'kernelUnitLength'. Discussion of intermediate images are in the Introduction and in the description of attribute 'filterRes'. A negative or zero value is an error (see Error processing).Animatable. yes.
feTurbulenceBaseFrequencyAttribute	baseFrequency	 "<number.optional.number>"	The base frequency (frequencies) parameter(s) for the noise function. If two <number>s are provided, the first number represents a base frequency in the X direction and the second value represents a base frequency in the Y direction. If one number is provided, then that value is used for both X and Y. A negative value for base frequency is an error (see Error processing). If the attribute is not specified, then the effect is as if a value of 0 were specified.Animatable. yes.
feTurbulenceNumOctavesAttribute	numOctaves	 "<integer>"	The numOctaves parameter for the noise function. If the attribute is not specified, then the effect is as if a value of 1 were specified.Animatable. yes.
feTurbulenceSeedAttribute	seed	 "<number>"	The starting number for the pseudo random number generator. If the attribute is not specified, then the effect is as if a value of 0 were specified. When the seed number is handed over to the algorithm above it must first be truncated, i.e. rounded to the closest integer value towards zero.Animatable. yes.
feTurbulenceStitchTilesAttribute	stitchTiles	 "stitch | noStitch"	If stitchTiles="noStitch", no attempt it made to achieve smooth transitions at the border of tiles which contain a turbulence function. Sometimes the result will show clear discontinuities at the tile borders. If stitchTiles="stitch", then the user agent will automatically adjust baseFrequency.x and baseFrequency.y values such that the feTurbulence node's width and height (i.e., the width and height of the current subregion) contains an integral number of the Perlin tile width and height for the first octave. The baseFrequency will be adjusted up or down depending on which way has the smallest relative (not absolute) change as follows. Given the frequency, calculate lowFreq=floor(width*frequency)/width and hiFreq=ceil(width*frequency)/width. If frequency/lowFreq < hiFreq/frequency then use lowFreq, else use hiFreq. While generating turbulence values, generate lattice vectors as normal for Perlin Noise, except for those lattice points that lie on the right or bottom edges of the active area (the size of the resulting tile). In those cases, copy the lattice vector from the opposite edge of the active area. If attribute 'stitchTiles' is not specified, then the effect is as if a value of noStitch were specified. Animatable. yes.
feTurbulenceTypeAttribute	type	 "fractalNoise | turbulence"	Indicates whether the filter primitive should perform a noise or turbulence function. If attribute 'type' is not specified, then the effect is as if a value of turbulence were specified. Animatable. yes.
SVGElementVersionAttribute	version	<number>	Indicates the SVG language version to which this document fragment conforms. In SVG 1.0 [SVG10], this attribute was fixed to the value '1.0'. For SVG 1.1, the attribute should have the value '1.1'.Animatable. no.
SVGElementBaseProfileAttribute	baseProfile	 profile.name	Describes the minimum SVG language profile that the author believes is necessary to correctly render the content. The attribute does not specify any processing restrictions; It can be considered metadata. For example, the value of the attribute could be used by an authoring tool to warn the user when they are modifying the document beyond the scope of the specified base profile. Each SVG profile should define the text that is appropriate for this attribute. If the attribute is not specified, the effect is as if a value of 'none' were specified.Animatable. no.
SVGElementXAttribute	x	<coordinate>	(Has no meaning or effect on outermost svg elements.) The x.axis coordinate of one corner of the rectangular region into which an embedded 'svg' element is placed. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
SVGElementYAttribute	y	<coordinate>	(Has no meaning or effect on outermost svg elements.) The y.axis coordinate of one corner of the rectangular region into which an embedded 'svg' element is placed. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
SVGElementWidthAttribute	width	<length>	For outermost svg elements, the intrinsic width of the SVG document fragment. For embedded 'svg' elements, the width of the rectangular region into which the 'svg' element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '100' were specified.Animatable. yes.
SVGElementHeightAttribute	height	<length>	For outermost svg elements, the intrinsic height of the SVG document fragment. For embedded 'svg' elements, the height of the rectangular region into which the 'svg' element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element. If the attribute is not specified, the effect is as if a value of '100' were specified.Animatable. yes.
SVGElementPreserveAspectRatioAttribute	preserveAspectRatio	[defer] <align> [<meetOrSlice>]	 See 'preserveAspectRatio'. If the attribute is not specified, then the effect is as if a value of 'xMidYMid meet' were specified. Animatable. yes. 
SVGElementContentScriptTypeAttribute	contentScriptType	content.type	 See 'contentScriptType'. 
SVGElementContentStyleTypeAttribute	contentStyleType	content.type	 See 'contentStyleType'. 
SVGElementZoomAndPanAttribute	zoomAndPan	disable | magnify	 See 'zoomAndPan'. 
UseElementXAttribute	x	<coordinate>	The x.axis coordinate of one corner of the rectangular region into which the referenced element is placed. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
UseElementYAttribute	y	<coordinate>	The y.axis coordinate of one corner of the rectangular region into which the referenced element is placed. If the attribute is not specified, the effect is as if a value of "0" were specified.Animatable. yes.
UseElementWidthAttribute	width	<length>	The width of the rectangular region into which the referenced element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of this element.Animatable. yes.
UseElementHeightAttribute	height	<length>	The height of the rectangular region into which the referenced element is placed. A negative value is an error (see Error processing). A value of zero disables rendering of this element.Animatable. yes.
UseElementHrefAttribute	xlink:href	<iri>	A IRI reference to an element/fragment within an SVG document.Animatable. yes.
ImageElementXAttribute	x	<coordinate>	The x.axis coordinate of one corner of the rectangular region into which the referenced document is placed. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
ImageElementYAttribute	y	<coordinate>	The y.axis coordinate of one corner of the rectangular region into which the referenced document is placed. If the attribute is not specified, the effect is as if a value of '0' were specified.Animatable. yes.
ImageElementWidthAttribute	width	<length>	The width of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
ImageElementHeightAttribute	height	<length>	The height of the rectangular region into which the referenced document is placed. A negative value is an error (see Error processing). A value of zero disables rendering of the element.Animatable. yes.
ImageElementHrefAttribute	xlink:href	<iri>	A IRI reference.Animatable. yes.
